[2026-03-10 17:50:24,030] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183/
[2026-03-10 17:50:27,672] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183
[2026-03-10 17:50:27,675] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183/
[2026-03-10 17:50:32,739] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183
[2026-03-10 17:50:32,742] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183/
[2026-03-10 17:50:37,180] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183
[2026-03-10 17:50:37,183] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183/
[2026-03-10 17:51:08,608] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:51:08,629] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:51:15,134] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:51:15,138] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:51:19,778] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:51:19,782] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:51:22,001] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:51:22,029] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:52:00,187] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183
[2026-03-10 17:52:00,215] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183/
[2026-03-10 17:52:32,051] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183
[2026-03-10 17:52:32,075] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183/
[2026-03-10 17:52:36,023] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183
[2026-03-10 17:52:36,049] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183/
[2026-03-10 17:52:39,202] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183
[2026-03-10 17:52:39,205] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183/
[2026-03-10 17:52:41,199] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183
[2026-03-10 17:52:41,202] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183/
[2026-03-10 17:52:43,632] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183
[2026-03-10 17:52:43,635] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/57182898000183/
[2026-03-11 08:47:16,100] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 08:48:53,433] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183
[2026-03-11 08:48:53,437] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183/
[2026-03-11 08:50:24,489] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183
[2026-03-11 08:50:24,495] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183/
[2026-03-11 08:50:26,476] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183
[2026-03-11 08:50:26,479] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183/
[2026-03-11 08:50:53,980] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183
[2026-03-11 08:50:54,011] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183/
[2026-03-11 09:12:57,354] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183
[2026-03-11 09:12:57,360] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/consolidated/57182898000183/
[2026-03-11 09:14:33,882] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:14:56,145] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:15:24,063] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:15:31,084] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:15:42,666] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:15:48,249] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:16:54,451] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:17:09,287] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:17:10,107] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:17:58,658] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:18:25,176] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:19:11,635] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:19:23,660] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:19:34,258] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:19:37,784] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:19:38,558] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:20:49,001] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:21:07,515] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:21:19,003] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:22:15,405] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:22:51,893] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/system/logs/
[2026-03-11 09:40:43,140] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:47,338] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:48,997] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:51,725] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:52,782] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:53,715] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:54,935] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:55,731] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:56,399] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:57,004] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:57,493] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:57,665] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:57,800] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:57,978] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:58,125] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:58,241] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:58,548] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:58,724] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:58,867] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,002] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,133] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,264] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,401] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,523] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
